Date,Time,Type,USD Volume,Token Amount,Price,Maker Address,Txn Link
2026-03-05,02:48:41 AM,Sell,7.90,45183,0.0001753,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xd568b96a99aae659ce10101b2d9b5c790fad4811638fa7ec3dcd4bd278a88709
2026-03-05,02:48:28 AM,Buy,79.35,451838,0.0001753,0x49a5492FDFe5AcC966dD5f41310dfDfe8dAA349C,https://bscscan.com/tx/0xd1e24141071b46e8bc88afe2d5192a3227f39901c4ce7f2ed81dc035b9e60225
2026-03-04,10:01:15 AM,Sell,0.58,3463.88,0.0001696,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x88ceb38a68ac3ad91da8cbd99beb3afb03f2dddf4855dd3a08e5894bd6585eb0
2026-03-04,10:00:17 AM,Buy,5.87,34574,0.0001695,0x0c0E1124b9a1b5BeCA146B1B1705e4fb4367E1FB,https://bscscan.com/tx/0x58e05719b1b8ff235d47774530e2108c190b2719a1a90aef378e459bea6b63de
2026-03-03,05:10:33 PM,Sell,1.59,9034.87,0.0001729,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xd17c0c806d8b02505436a89e9f95d12b9c2baa6af3ac8c896a3f7ae8fbcedf1f
2026-03-03,11:51:53 AM,Sell,0.05,288.52,0.0001777,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x199deb32363405b03f35b466665245973ac14c81718e27dbcefb1cc4ae8404cf
2026-03-03,11:12:14 AM,Sell,2.17,12308,0.0001777,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x60624bb83d802dd4bd60ae72f7c8e0961fd933909bdfaae1a42a305cfcacb03c
2026-03-03,11:11:49 AM,Buy,21.78,123087,0.0001766,0x6Efee96287B5e1a2Ef966E25baE15a54BDE9b83E,https://bscscan.com/tx/0xd5ea8cabba08709d7dffcbd020540114428da804c26fbb0212ef3a4d5c19e505
2026-03-02,03:20:20 PM,Sell,1.82,10209,0.0001774,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x900396135742142bee129678d70a4b8befdd84edf304037da2dd2170cec35502
2026-03-02,03:20:10 PM,Buy,18.32,102080,0.0001792,0x6Efee96287B5e1a2Ef966E25baE15a54BDE9b83E,https://bscscan.com/tx/0x2b31d1b0d6a49d83abf4b646945ea1b00877b108326bc01c454e67d6d44ea5b0
2026-03-01,10:48:17 PM,Sell,9.54,55481,0.0001723,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xf599f67263784820a3db8ea9649be29a8c1cf7a97d8f2dff95883465d18e5d77
2026-03-01,10:47:05 PM,Buy,95.43,554818,0.0001717,0xD09B363271969B37465E86F7C4432c8b25e5d7D0,https://bscscan.com/tx/0xae1c8776cebcfaabd20b71ca9e4c9c2ff0b39a217ee4c3fb28b0e5c2ed3de5eb
2026-03-01,10:32:19 PM,Sell,0.27,1581.57,0.0001715,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xcaa1e59ef2722cc6edd98ac76c82b640884d746e0d9064f31b83ee28081b30e7
2026-03-01,10:32:04 PM,Buy,2.72,15779,0.0001724,0x4071112341B41567396b9930407F90De54f7d437,https://bscscan.com/tx/0xa09798f440a6e78ea63b8135422ba973510421caa9be7ca86726e5b9f997d457
2026-03-01,07:13:10 PM,Sell,5.87,34056,0.0001726,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xfb55099fe19bb824a8a35025dfb66a41b6ee83ff09ec28322e61be4f9a1d5bb1
2026-03-01,07:12:11 PM,Buy,5.27,30500,0.0001727,0x3ec26c606F398246e61c74B38E3DaB2816ccf355,https://bscscan.com/tx/0x335ce1db3c0dc30b87cef48a1008d6c7e9591984adf5be31eb69a3ce75d695c6
2026-03-01,07:11:11 PM,Sell,35.17,203998,0.0001727,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xaacb5c2c3adcf7ff06e35c19d5bf6d85cce1f20dc6682e22e3f067f3c85001bf
2026-03-01,07:10:29 PM,Sell,62.26,360000,0.0001732,0xfA2a6Feb4D3e11c650ba067ea53e24a42EC935Eb,https://bscscan.com/tx/0xa784796b7ee8641c31516ded7107e3420e4ad76d6414021b05220e1a8749bc19
2026-03-01,07:09:47 PM,Buy,14.30,82367,0.0001733,0x7a8c3aBc2be6c053834514852aF6E9cbd980F299,https://bscscan.com/tx/0x49db3841066e67c75ad7cd19d3300a12e87bf2a00a99ac94aa5a491beb4a7e88
2026-03-01,07:06:25 PM,Sell,0.22,1289.070,0.0001733,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x39ef51d6fbf5ebf14aa68fdb05df868fa9b3658675d3d548754f2af3e708ac54
2026-03-01,07:06:01 PM,Buy,2.22,12819,0.0001731,0x4071112341B41567396b9930407F90De54f7d437,https://bscscan.com/tx/0x7c292878c679355f88ff41d676331643529fcac4f3136b1391c8f5ea41c002b9
2026-03-01,07:05:50 PM,Sell,35.11,201176,0.0001749,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x209f9357f8243aa60fe6a3c848578a20e5bb60269f1860d749a34d002e7a32b5
